periode,urutan,tanggal_mulai,tanggal_selesai,kegiatan,penanggung_jawab,status
2026-09,1,2026-09-14,2026-09-16,"Bersihkan 29 lembar #N/A, terbitkan TO tambahan",Manajer ULP + admin GIS,RENCANA
2026-09,2,2026-09-14,2026-09-15,"Antar TUL 6.01 ke 175 pelanggan berisiko (136 pelanggan 2 lembar + 39 pelanggan 3 lembar), wajib bukti FTO",10 petugas bilman,RENCANA
2026-09,3,2026-09-15,2026-09-15,Surat resmi ke Tim Pelanggan Besar UP3 untuk 71 rekening AMR,Manajer ULP,RENCANA
2026-09,4,2026-09-16,2026-09-16,Surat peringatan ke 39 pelanggan 3 lembar,Admin + bilman,RENCANA
2026-09,5,2026-09-16,2026-09-18,Antar TUL 6.01 pelanggan 1 lembar nilai besar / daya besar,10 petugas bilman,RENCANA
2026-09,6,2026-09-17,2026-09-19,Reminder WA blast + telepon ke yang belum bayar,Admin ULP,RENCANA
2026-09,7,2026-09-19,2026-09-20,Antar TUL 6.01 sisa pelanggan,10 petugas bilman,RENCANA
2026-09,8,2026-09-20,2026-09-21,Pemutusan sementara 136 pelanggan 2 lembar bilman,Tim penertiban,RENCANA
2026-09,9,2026-09-22,2026-09-25,Pemutusan permanen 39 pelanggan 3 lembar,Tim penertiban,RENCANA
2026-09,10,2026-09-25,2026-09-30,"Sweeping masif pelanggan belum bayar, prioritas nilai besar",Seluruh petugas + supervisor,RENCANA
2026-09,11,2026-09-15,2026-09-29,Briefing evaluasi RST + update klasemen setiap Selasa 08.00,Manajer ULP + Nusa Daya,BERJALAN
